tipo,n,tempo,comparacoes,deslocamentos,memoria
Aleatorio,10,0.000001,24,26,9524
Aleatorio,100,0.000010,2596,2600,9524
Aleatorio,1000,0.000633,251277,251283,9524
Aleatorio,10000,0.066213,25046742,25046750,9524
Crescente,10,0.000001,9,9,9524
Crescente,100,0.000002,99,99,9524
Crescente,1000,0.000004,999,999,9524
Crescente,10000,0.000037,9999,9999,9524
Decrescente,10,0.000001,45,54,9524
Decrescente,100,0.000014,4950,5049,9524
Decrescente,1000,0.001486,499500,500499,9524
Decrescente,10000,0.137968,49995000,50004999,9524
