tipo,n,tempo,comparacoes,deslocamentos,memoria
Aleatorio,10,0.000003,23,34,1536
Aleatorio,100,0.000018,539,672,1536
Aleatorio,1000,0.000268,8710,9976,1536
Aleatorio,10000,0.002516,120490,133616,1664
Aleatorio,100000,0.018303,1536273,1668928,2432
Aleatorio,1000000,0.215970,18674759,19951424,9524
Crescente,10,0.000002,19,34,9524
Crescente,100,0.000007,356,672,9524
Crescente,1000,0.000076,5044,9976,9524
Crescente,10000,0.000885,69008,133616,9524
Crescente,100000,0.010314,853904,1668928,9524
Crescente,1000000,0.148029,10066432,19951424,9524
Decrescente,10,0.000002,15,34,9524
Decrescente,100,0.000007,316,672,9524
Decrescente,1000,0.000084,4932,9976,9524
Decrescente,10000,0.000887,64608,133616,9524
Decrescente,100000,0.009945,815024,1668928,9524
Decrescente,1000000,0.158043,9884992,19951424,9524
