tipo,n,tempo,comparacoes,deslocamentos,memoria
Aleatorio,10,0.000002,45,18,9524
Aleatorio,100,0.000020,4950,287,9524
Aleatorio,1000,0.001123,499500,2974,9524
Aleatorio,10000,0.118621,49995000,29972,9524
Crescente,10,0.000001,45,0,9524
Crescente,100,0.000014,4950,0,9524
Crescente,1000,0.002390,499500,0,9524
Crescente,10000,0.146980,49995000,0,9524
Decrescente,10,0.000001,45,15,9524
Decrescente,100,0.000013,4950,150,9524
Decrescente,1000,0.001208,499500,1500,9524
Decrescente,10000,0.108903,49995000,15000,9524
